lon,lat,elev,obs_phase,pred_phase,pred_support_snow,pred_support_mix,pred_support_rain,obs_support_snow,obs_support_mix,obs_support_rain
-120.221571160635,39.3255662963242,1840.677490234375,snow,snow,0.946754037896006,0.04311602391826756,0.010129938185726417,1.0,0.0,0.0
-120.013251037432,38.9211995604349,1911.875244140625,rain,snow,0.53095396771744,0.46904603228256003,0.0,0.0,0.0,1.0
-120.175776217042,39.3532506110192,1832.049560546875,snow,snow,0.9384958259385118,0.052098819834072045,0.00940535422741616,1.0,0.0,0.0
-120.0977286,39.2027161,1929.392578125,snow,snow,0.5317351278972778,0.30510319277702647,0.16316167932569564,1.0,0.0,0.0
-119.996462860168,38.8705107280837,1950.8565673828125,snow,rain,0.02021490889114116,0.4539666219330431,0.5258184691758158,1.0,0.0,0.0
-120.0079634,38.9237982,1905.078125,mix,rain,0.3976443255190022,0.005382340977037115,0.5969733335039606,0.0,1.0,0.0
-119.96651770947,39.2523372457816,2016.028076171875,snow,snow,0.5239630983010307,0.2364551675661576,0.23958173413281172,1.0,0.0,0.0
-120.162980327601,39.358183110899,1793.0777587890625,mix,snow,0.7866559471358486,0.055114356127314995,0.15822969673683626,0.0,1.0,0.0
-120.966522209391,39.2608261083298,928.4439086914062,rain,snow,0.44616176309613953,0.342179910004574,0.21165832689928654,0.0,0.0,1.0
-119.7614489,39.1561837,1420.0274658203125,rain,snow,0.6212184839077384,0.2206931521707672,0.15808836392149436,0.0,0.0,1.0
-119.95558226379,38.909731207954,1956.0849609375,rain,mix,0.42645020665330613,0.5597594891679439,0.013790304178749971,0.0,0.0,1.0
-120.823863948334,39.5679419373897,999.898681640625,rain,rain,0.39546538651395685,0.0,0.6045346134860431,0.0,0.0,1.0
-120.175776968226,39.3532497485455,1832.049560546875,snow,rain,0.0,0.0,1.0,1.0,0.0,0.0
-120.007684154881,39.5274882123828,1521.617431640625,rain,snow,0.5526440062131606,0.0,0.44735599378683943,0.0,0.0,1.0
-120.689660767603,38.6953595286921,809.8617553710938,rain,rain,0.3611690781543806,0.0,0.6388309218456194,0.0,0.0,1.0
-119.7054113,39.6659872,1382.35986328125,rain,rain,0.21838192736545337,0.0,0.7816180726345466,0.0,0.0,1.0
-120.175776968226,39.3532497485455,1832.049560546875,snow,snow,0.9763403998103369,0.0,0.02365960018966308,1.0,0.0,0.0
-120.0079521,38.9237947,1905.078125,snow,snow,0.9916157034309149,0.0,0.00838429656908511,1.0,0.0,0.0
-120.100185556692,39.3566254585072,1798.48291015625,snow,snow,0.9687985004229158,0.0,0.031201499577084235,1.0,0.0,0.0
-119.750198530758,39.1853990224277,1433.7567138671875,rain,snow,1.0,0.0,0.0,0.0,0.0,1.0
-119.979316462698,38.9445520364052,1898.4395751953125,snow,snow,0.9898806208199494,0.0,0.01011937918005057,1.0,0.0,0.0
-119.6056503,37.3366649,948.925537109375,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-120.7826406,38.5112555,515.516845703125,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-119.898477292598,37.4560254325184,716.6741943359375,rain,rain,0.0,0.0,1.0,0.0,0.0,1.0
-120.280517976731,38.7766985189175,1407.0838623046875,rain,rain,0.39301194129835954,0.0,0.6069880587016405,0.0,0.0,1.0
-120.143947017109,38.7989357608335,1798.019775390625,rain,snow,0.9430353210161957,0.0,0.05696467898380425,0.0,0.0,1.0
-120.111268496197,38.802907803085,2017.3365478515625,snow,rain,0.0,0.0,1.0,1.0,0.0,0.0
-120.823871572924,39.5679409958394,999.898681640625,rain,rain,0.20229855470362668,0.09629500266882736,0.701406442627546,0.0,0.0,1.0
-120.9268059,38.9920847,638.5701293945312,rain,rain,0.1327451483080502,0.06983344571305716,0.7974214059788926,0.0,0.0,1.0
-120.8159454,39.2188567,1065.0308837890625,rain,rain,0.18344462514769466,0.09489870491338563,0.7216566699389197,0.0,0.0,1.0
-120.245763335211,39.3689621433484,2002.6611328125,snow,mix,0.27256031801073266,0.3908728243982741,0.33656685759099336,1.0,0.0,0.0
-119.886983040932,39.517162850767,1483.864501953125,mix,rain,0.3674418066682129,0.16524967496588666,0.4673085183659004,0.0,1.0,0.0
-120.217107053218,39.3231499612608,1830.3636474609375,mix,snow,0.7497750368846382,0.004300937164815835,0.24592402595054597,0.0,1.0,0.0
-120.183839752159,39.3328666744168,1781.1376953125,snow,rain,0.06972126217522931,0.3381165266937684,0.5921622111310023,1.0,0.0,0.0
-120.2438795,39.6787897,1505.601806640625,rain,rain,0.33616197614674687,0.3191317757455151,0.3447062481077381,0.0,0.0,1.0
-120.782651,38.5111949,515.516845703125,rain,rain,0.18268416764072484,0.1515814937663488,0.6657343385929264,0.0,0.0,1.0
