n_points,n_eval,accuracy,macro_f1,multiclass_logloss,hour_utc
6,6,1.0,0.3333333333333333,2.2204460492503136e-16,2025-03-02 17:00:00+00:00
13,13,0.7692307692307693,0.2898550724637681,1.253280656887576,2025-03-02 18:00:00+00:00
6,6,0.8333333333333334,0.30303030303030304,6.012980110294946,2025-03-02 19:00:00+00:00
11,11,0.6363636363636364,0.3111111111111111,3.8854365626767287,2025-03-02 20:00:00+00:00
21,21,0.7619047619047619,0.5988505747126437,2.374173599802051,2025-03-02 21:00:00+00:00
10,10,0.8,0.4583333333333333,0.6777466847298529,2025-03-02 22:00:00+00:00
10,10,1.0,0.3333333333333333,2.2204460492503136e-16,2025-03-02 23:00:00+00:00
14,14,0.7142857142857143,0.2777777777777778,3.116910265895011,2025-03-03 00:00:00+00:00
4,4,0.25,0.13333333333333333,9.584296253274426,2025-03-03 01:00:00+00:00
3,3,0.6666666666666666,0.26666666666666666,12.202482041449981,2025-03-03 03:00:00+00:00
7,7,1.0,0.3333333333333333,2.2204460492503136e-16,2025-03-03 04:00:00+00:00
4,4,0.75,0.2857142857142857,9.012841412006916,2025-03-03 05:00:00+00:00
3,3,1.0,0.3333333333333333,2.2204460492503136e-16,2025-03-03 06:00:00+00:00
